,id,status,chemicalformula,job,subjob,project,timestart,timestop,totalcputime,computer,hamilton,hamversion,parentid,masterid
0,0,finished,H54O27,water_slow,/water_slow,saved_job/tip3p_water,2022-05-30 13:19:37.934653,2022-05-30 13:19:43.772588,5.0,pyiron@jupyter-pyiron-2dcollabor-2dyiron-5fin-5fbinder-2dj9wq6vll#1,Lammps,0.1,,
1,1,finished,H54O27,water_fast,/water_fast,saved_job/tip3p_water,2022-05-30 13:19:44.575072,2022-05-30 13:19:52.999912,8.0,pyiron@jupyter-pyiron-2dcollabor-2dyiron-5fin-5fbinder-2dj9wq6vll#1,Lammps,0.1,,
